"uuid","page_id","page_condition","rt","adjust_rt","scrolling_time","num_words","correct_rate","img_width","age","device","dyslexia","education","gender","language","retake","dyslexia_bin","english_native","Flesch_Kincaid","speed"
"028c35ca-c434-4a6c-9706-5752290c6d4a","3-2",1,39899,39427,472,120,1,1439,35,"laptop",0,"professional school",0,"English",0,0,"Y",10.697,182.615973825044
"028c35ca-c434-4a6c-9706-5752290c6d4a","1-2",0,75856,73338,2518,383,1,1439,35,"laptop",0,"professional school",0,"English",0,0,"Y",10.485,313.343696310235
"028c35ca-c434-4a6c-9706-5752290c6d4a","1-1",1,67345,65974,1371,324,0.666666666666667,1439,35,"laptop",0,"professional school",0,"English",0,0,"Y",9.6,294.661533331312
"028c35ca-c434-4a6c-9706-5752290c6d4a","2-1",1,47826,47339,487,145,0.666666666666667,1439,35,"laptop",0,"professional school",0,"English",0,0,"Y",8.337,183.780814972855
"028c35ca-c434-4a6c-9706-5752290c6d4a","2-2",0,43220,42040,1180,166,0.666666666666667,1439,35,"laptop",0,"professional school",0,"English",0,0,"Y",7.638,236.917221693625
"028c35ca-c434-4a6c-9706-5752290c6d4a","3-1",0,63440,59545,3895,106,1,1439,35,"laptop",0,"professional school",0,"English",0,0,"Y",11.081,106.809975648669
"036b67f1-2e0e-4bc3-9616-c53f4bdeebf6","2-1",0,42606,38746,3860,145,1,1294,24,"laptop",0,"college",0,"English",0,0,"Y",8.337,224.539307283332
"036b67f1-2e0e-4bc3-9616-c53f4bdeebf6","1-2",1,125699,115251,10448,383,1,1294,24,"laptop",0,"college",0,"English",0,0,"Y",10.485,199.390894656012
"036b67f1-2e0e-4bc3-9616-c53f4bdeebf6","1-1",0,109633,104257,5376,324,1,1294,24,"laptop",0,"college",0,"English",0,0,"Y",9.6,186.462299893532
"036b67f1-2e0e-4bc3-9616-c53f4bdeebf6","3-1",0,38050,34040,4010,106,1,1294,24,"laptop",0,"college",0,"English",0,0,"Y",11.081,186.839012925969
"036b67f1-2e0e-4bc3-9616-c53f4bdeebf6","2-2",1,49429,47296,2133,166,1,1294,24,"laptop",0,"college",0,"English",0,0,"Y",7.638,210.588633288227
"036b67f1-2e0e-4bc3-9616-c53f4bdeebf6","3-2",1,54699,52930,1769,120,1,1294,24,"laptop",0,"college",0,"English",0,0,"Y",10.697,136.028717173626
"03f385b7-6b1b-4549-95f3-1d999b1df64a","3-2",0,30216,28401,1815,120,1,1150,13,"laptop",0,"high school",1,"English",0,0,"Y",10.697,253.512200274638
"03f385b7-6b1b-4549-95f3-1d999b1df64a","2-1",0,30794,30391,403,145,1,1150,13,"laptop",0,"high school",1,"English",0,0,"Y",8.337,286.26896120562
"03f385b7-6b1b-4549-95f3-1d999b1df64a","3-1",1,24424,21462,2962,106,1,1150,13,"laptop",0,"high school",1,"English",0,0,"Y",11.081,296.337713167459
"03f385b7-6b1b-4549-95f3-1d999b1df64a","1-1",1,57575,50610,6965,324,1,1150,13,"laptop",0,"high school",1,"English",0,0,"Y",9.6,384.113811499704
"03f385b7-6b1b-4549-95f3-1d999b1df64a","1-2",0,54702,51465,3237,383,0.666666666666667,1150,13,"laptop",0,"high school",1,"English",0,0,"Y",10.485,446.517050422617
"03f385b7-6b1b-4549-95f3-1d999b1df64a","2-2",1,21462,17635,3827,166,1,1150,13,"laptop",0,"high school",1,"English",0,0,"Y",7.638,564.785937056989
"041129bf-1228-43d2-af14-173e38b15972","2-2",1,50108,50108,0,166,1,322,29,"smartphone",1,"professional school",1,"English",0,1,"Y",7.638,198.77065538437
"041129bf-1228-43d2-af14-173e38b15972","1-1",0,85982,61913,24069,324,1,322,29,"smartphone",1,"professional school",1,"English",0,1,"Y",9.6,313.988984542826
"041129bf-1228-43d2-af14-173e38b15972","1-2",1,97833,92089,5744,383,1,322,29,"smartphone",1,"professional school",1,"English",0,1,"Y",10.485,249.541204704145
"041129bf-1228-43d2-af14-173e38b15972","3-2",1,34953,34953,0,120,1,322,29,"smartphone",1,"professional school",1,"English",0,1,"Y",10.697,205.990902068492
"041129bf-1228-43d2-af14-173e38b15972","2-1",0,44842,44570,272,145,1,322,29,"smartphone",1,"professional school",1,"English",0,1,"Y",8.337,195.19856405654
"041129bf-1228-43d2-af14-173e38b15972","3-1",0,27023,26641,382,106,1,322,29,"smartphone",1,"professional school",1,"English",0,1,"Y",11.081,238.729777410758
"05407942-f651-4129-adc8-541378ce6ac3","3-2",0,29632,27605,2027,120,1,1438,30,"laptop",0,"college",0,"English",0,0,"Y",10.697,260.822314798044
"05407942-f651-4129-adc8-541378ce6ac3","2-2",1,68226,64903,3323,166,0.666666666666667,1438,30,"laptop",0,"college",0,"English",0,0,"Y",7.638,153.459778438593
"05407942-f651-4129-adc8-541378ce6ac3","2-1",0,39275,38411,864,145,1,1438,30,"laptop",0,"college",0,"English",0,0,"Y",8.337,226.497617869881
"05407942-f651-4129-adc8-541378ce6ac3","1-1",0,44574,36008,8566,324,0.666666666666667,1438,30,"laptop",0,"college",0,"English",0,0,"Y",9.6,539.880026660742
"05407942-f651-4129-adc8-541378ce6ac3","1-2",1,68756,57766,10990,383,1,1438,30,"laptop",0,"college",0,"English",0,0,"Y",10.485,397.811861648721
"05407942-f651-4129-adc8-541378ce6ac3","3-1",1,25703,20800,4903,106,1,1438,30,"laptop",0,"college",0,"English",0,0,"Y",11.081,305.769230769231
"05a92b52-f72a-42f9-936c-9258bf385bf3","3-1",1,46396,42091,4305,106,0.666666666666667,1212,52,"laptop",1,"graduate school",1,"English",0,1,"Y",11.081,151.101185526597
"05a92b52-f72a-42f9-936c-9258bf385bf3","1-1",0,83143,73893,9250,324,1,1212,52,"laptop",1,"graduate school",1,"English",0,1,"Y",9.6,263.083106654216
"05a92b52-f72a-42f9-936c-9258bf385bf3","2-2",1,38015,31685,6330,166,0.666666666666667,1212,52,"laptop",1,"graduate school",1,"English",0,1,"Y",7.638,314.344326968597
"05a92b52-f72a-42f9-936c-9258bf385bf3","1-2",1,82294,68337,13957,383,0.666666666666667,1212,52,"laptop",1,"graduate school",1,"English",0,1,"Y",10.485,336.274638921814
"05a92b52-f72a-42f9-936c-9258bf385bf3","3-2",0,37277,31776,5501,120,1,1212,52,"laptop",1,"graduate school",1,"English",0,1,"Y",10.697,226.586102719033
"05a92b52-f72a-42f9-936c-9258bf385bf3","2-1",0,63325,54977,8348,145,1,1212,52,"laptop",1,"graduate school",1,"English",0,1,"Y",8.337,158.24799461593
