"participant","vis","rdirection","sign","visandsign","rbase","approach","jnd","condition"
"hsi6jxm7","stackedline","positive",1,"stackedlinepositive",0.7,"below",0.208333333,"stackedlinepositive-0.7-below"
"hsi6jxm7","stackedline","positive",1,"stackedlinepositive",0.4,"below",0.27,"stackedlinepositive-0.4-below"
"hsi6jxm7","stackedline","positive",1,"stackedlinepositive",0.4,"above",0.383333333,"stackedlinepositive-0.4-above"
"hsknw805","donut","negative",-1,"donutnegative",0.6,"below",0.12,"donutnegative-0.6-below"
"hsknw805","donut","negative",-1,"donutnegative",0.6,"above",0.078333333,"donutnegative-0.6-above"
"hsknw805","donut","negative",-1,"donutnegative",0.3,"below",0.335,"donutnegative-0.3-below"
"hsknw805","donut","negative",-1,"donutnegative",0.3,"above",0.071666667,"donutnegative-0.3-above"
"hsktvq1v","donut","negative",-1,"donutnegative",0.5,"above",0.213333333,"donutnegative-0.5-above"
"hsktvq1v","donut","negative",-1,"donutnegative",0.8,"above",0.085,"donutnegative-0.8-above"
"hsktvq1v","donut","negative",-1,"donutnegative",0.8,"below",0.095,"donutnegative-0.8-below"
"hsktvq1v","donut","negative",-1,"donutnegative",0.5,"below",0.171666667,"donutnegative-0.5-below"
"hrjqd2iw","scatterplot","negative",-1,"scatterplotnegative",0.6,"below",0.564166667,"scatterplotnegative-0.6-below"
"hrjqd2iw","scatterplot","negative",-1,"scatterplotnegative",0.6,"above",0.083333333,"scatterplotnegative-0.6-above"
"hrjqd2iw","scatterplot","negative",-1,"scatterplotnegative",0.3,"below",0.28375,"scatterplotnegative-0.3-below"
"hrjqd2iw","scatterplot","negative",-1,"scatterplotnegative",0.3,"above",0.045,"scatterplotnegative-0.3-above"
"hrjhyvas","scatterplot","negative",-1,"scatterplotnegative",0.4,"above",0.049166667,"scatterplotnegative-0.4-above"
"hrjhyvas","scatterplot","negative",-1,"scatterplotnegative",0.8,"below",0.036666667,"scatterplotnegative-0.8-below"
"hrjhyvas","scatterplot","negative",-1,"scatterplotnegative",0.8,"above",0.03625,"scatterplotnegative-0.8-above"
"hrjhyvas","scatterplot","negative",-1,"scatterplotnegative",0.4,"below",0.213333333,"scatterplotnegative-0.4-below"
"hs6gy5qt","stackedbar","negative",-1,"stackedbarnegative",0.5,"below",0.323333333,"stackedbarnegative-0.5-below"
"hs6gy5qt","stackedbar","negative",-1,"stackedbarnegative",0.5,"above",0.245,"stackedbarnegative-0.5-above"
"hs6gy5qt","stackedbar","negative",-1,"stackedbarnegative",0.8,"below",0.13,"stackedbarnegative-0.8-below"
"hs6gy5qt","stackedbar","negative",-1,"stackedbarnegative",0.8,"above",0.121666667,"stackedbarnegative-0.8-above"
"hskgn8gg","radar","negative",-1,"radarnegative",0.4,"below",0.573333333,"radarnegative-0.4-below"
"hskgn8gg","radar","negative",-1,"radarnegative",0.7,"below",0.641666667,"radarnegative-0.7-below"
"hskgn8gg","radar","negative",-1,"radarnegative",0.7,"above",0.285416667,"radarnegative-0.7-above"
"hskgn8gg","radar","negative",-1,"radarnegative",0.4,"above",0.415,"radarnegative-0.4-above"
"hs6gik4i","stackedbar","negative",-1,"stackedbarnegative",0.8,"below",0.406666667,"stackedbarnegative-0.8-below"
"hs6gik4i","stackedbar","negative",-1,"stackedbarnegative",0.5,"below",0.203333333,"stackedbarnegative-0.5-below"
"hs6gik4i","stackedbar","negative",-1,"stackedbarnegative",0.8,"above",0.07,"stackedbarnegative-0.8-above"
"hs6gik4i","stackedbar","negative",-1,"stackedbarnegative",0.5,"above",0.108333333,"stackedbarnegative-0.5-above"
"hskkd7op","radar","negative",-1,"radarnegative",0.5,"above",0.431666667,"radarnegative-0.5-above"
"hskkd7op","radar","negative",-1,"radarnegative",0.8,"below",0.365,"radarnegative-0.8-below"
"hskkd7op","radar","negative",-1,"radarnegative",0.8,"above",0.181666667,"radarnegative-0.8-above"
"hskkd7op","radar","negative",-1,"radarnegative",0.5,"below",0.455,"radarnegative-0.5-below"
"hs7jtdat","stackedline","negative",-1,"stackedlinenegative",0.6,"below",0.061666667,"stackedlinenegative-0.6-below"
"hs7jtdat","stackedline","negative",-1,"stackedlinenegative",0.3,"below",0.541666667,"stackedlinenegative-0.3-below"
"hs7jtdat","stackedline","negative",-1,"stackedlinenegative",0.3,"above",0.173333333,"stackedlinenegative-0.3-above"
"hs7jtdat","stackedline","negative",-1,"stackedlinenegative",0.6,"above",0.08,"stackedlinenegative-0.6-above"
"hskdipks","radar","negative",-1,"radarnegative",0.6,"below",0.61,"radarnegative-0.6-below"
"hskdipks","radar","negative",-1,"radarnegative",0.6,"above",0.302083333,"radarnegative-0.6-above"
"hskdipks","radar","negative",-1,"radarnegative",0.3,"below",0.435,"radarnegative-0.3-below"
"hskdipks","radar","negative",-1,"radarnegative",0.3,"above",0.5825,"radarnegative-0.3-above"
"hsyxcy4j","ordered_line","negative",-1,"ordered_linenegative",0.5,"above",0.171666667,"ordered_linenegative-0.5-above"
"hsyxcy4j","ordered_line","negative",-1,"ordered_linenegative",0.8,"below",0.468333333,"ordered_linenegative-0.8-below"
"hsyxcy4j","ordered_line","negative",-1,"ordered_linenegative",0.5,"below",0.061666667,"ordered_linenegative-0.5-below"
"hsyxcy4j","ordered_line","negative",-1,"ordered_linenegative",0.8,"above",0.115,"ordered_linenegative-0.8-above"
"hs5f6f8k","stackedbar","negative",-1,"stackedbarnegative",0.3,"below",0.138333333,"stackedbarnegative-0.3-below"
"hs5f6f8k","stackedbar","negative",-1,"stackedbarnegative",0.6,"above",0.151666667,"stackedbarnegative-0.6-above"
"hs5f6f8k","stackedbar","negative",-1,"stackedbarnegative",0.3,"above",0.145,"stackedbarnegative-0.3-above"
"hs5f6f8k","stackedbar","negative",-1,"stackedbarnegative",0.6,"below",0.096666667,"stackedbarnegative-0.6-below"
